listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
N/A,1,1,100123,39.92575240753157,116.52234674990551,2,1,1,1,,$ 123.00,$ 680.00,"$ 2,600.00","$ 3,000.00",$ 100.00,1,$ 130.00,1,90,0,12,42,317,18,89,10,10,10,10,10,9,strict_14_with_grace_period,1,0.58
83%,9,9,,39.90545297755255,116.57648678891195,2,1,1,1,,$ 335.00,$ 175.00,$ 620.00,$ 653.00,$ 0.00,1,$ 39.00,1,1125,0,0,0,244,2,100,10,10,10,10,8,10,moderate,9,0.04
97%,11,11,100010,39.91518588114478,116.43067622554982,2,1,1,1,,$ 404.00,"$ 2,872.00","$ 11,170.00",,$ 72.00,2,$ 0.00,1,350,13,17,47,322,210,87,9,9,9,10,9,9,strict_14_with_grace_period,9,3.51
100%,1,1,,39.948285759428586,116.49684229213017,1,0.5,1,1,,$ 171.00,"$ 2,500.00",,,$ 33.00,1,$ 150.00,2,1125,12,42,72,347,8,98,10,10,10,10,9,10,moderate,1,0.61
100%,4,4,,39.9379257965728,116.39264490686708,1,1,1,1,,$ 260.00,"$ 1,438.00","$ 4,449.00",,,1,$ 0.00,2,40,27,57,87,362,57,98,10,10,10,10,10,10,flexible,4,0.94
97%,11,11,100020,39.917091046234894,116.42923823429136,4,1,1,2,,$ 596.00,"$ 4,228.00","$ 17,552.00",,$ 72.00,2,$ 72.00,1,1125,19,19,19,216,153,89,9,9,10,10,9,9,strict_14_with_grace_period,9,2.57
97%,11,11,100020,39.91538172643939,116.42922576920425,2,1,1,1,,$ 404.00,"$ 2,872.00","$ 11,170.00",,$ 72.00,2,$ 0.00,1,1125,22,22,22,294,200,87,9,9,9,9,9,9,strict_14_with_grace_period,9,3.29
80%,1,1,,40.00121364996474,116.48360362279134,1,1,1,1,0,$ 199.00,"$ 1,400.00","$ 3,800.00",$ 580.00,$ 35.00,1,$ 100.00,2,1125,27,57,87,362,3,93,9,8,9,10,9,9,flexible,1,0.05
100%,3,3,100025,39.92164222117124,116.48290612430638,2,1,1,1,0,$ 288.00,"$ 1,400.00","$ 4,500.00",,,1,$ 0.00,1,1125,25,55,85,360,22,100,10,10,10,10,10,10,flexible,3,0.83
100%,1,1,100021,39.881220012424336,116.44043560668054,3,1,1,2,667,$ 349.00,$ 360.00,"$ 1,200.00",$ 660.00,,2,$ 80.00,2,1125,9,27,27,193,48,92,9,9,10,10,9,9,strict_14_with_grace_period,1,0.8
100%,7,7,100034,39.925529287722014,116.3699050744758,2,1,1,1,4306,$ 671.00,"$ 5,000.00","$ 21,000.00",,,1,$ 0.00,1,365,23,53,83,347,17,95,10,9,10,10,10,9,strict_14_with_grace_period,7,0.36
80%,2,2,100061,39.89325734801962,116.43437596636633,6,1,2,4,,$ 671.00,"$ 4,860.00","$ 11,637.00",$ 685.00,,4,$ 68.00,4,730,29,59,89,364,13,91,10,9,10,9,9,9,strict_14_with_grace_period,2,0.25
100%,2,2,100007,39.93030305504785,116.41530952134096,3,1,1,1,,$ 698.00,"$ 2,500.00","$ 11,000.00",$ 658.00,,1,$ 0.00,5,1125,0,12,42,42,1,,,,,,,,moderate,2,0.18
100%,1,1,100015,39.9798327506073,116.49724182581147,3,2,2,2,,$ 548.00,,,,$ 100.00,1,$ 0.00,3,1125,22,52,82,357,14,92,10,9,9,9,9,9,flexible,1,0.27
100%,4,4,100024,39.922060191132466,116.56636018027869,2,1,1,1,,$ 130.00,,,$ 700.00,,1,$ 0.00,1,365,10,40,70,345,22,92,9,9,10,10,8,9,moderate,4,0.37
100%,6,6,100089,39.95600233437576,116.30165129828436,1,0.5,1,1,,$ 157.00,"$ 1,198.00","$ 4,627.00",,$ 62.00,1,$ 68.00,1,1125,10,40,70,158,103,100,10,10,10,10,10,10,moderate,3,1.84
100%,1,1,100007,39.940604938338886,116.42195636552383,3,1,1,1,108,$ 199.00,"$ 1,200.00","$ 4,000.00",$ 600.00,,2,$ 200.00,3,120,13,43,73,348,80,96,10,9,10,10,10,10,moderate,1,1.52
100%,4,4,100027,39.93600528468936,116.43684162981434,4,1,1,2,,$ 548.00,"$ 3,833.00","$ 10,952.00",,,1,$ 0.00,1,1125,19,35,65,340,14,78,8,7,9,9,9,8,strict_14_with_grace_period,4,0.26
100%,7,7,100022,39.88940958968796,116.46620867227837,1,1,1,1,,$ 96.00,$ 650.00,"$ 2,400.00",$ 0.00,,1,$ 0.00,1,1125,27,57,87,362,47,89,9,9,9,10,9,9,strict_14_with_grace_period,7,0.8
100%,3,3,100024,39.89265209715246,116.60724022645688,2,1,1,1,,$ 123.00,,,$ 700.00,,1,$ 0.00,2,365,19,49,79,354,10,90,9,9,10,10,9,9,moderate,3,0.19
100%,3,3,100015,39.9880778501111,116.50902958581447,2,1,1,1,,$ 123.00,,,$ 700.00,,1,$ 0.00,2,365,19,49,79,354,6,83,8,8,9,9,8,8,moderate,3,0.23
100%,4,4,100024,39.90383855383393,116.57642345530277,2,1,1,1,,$ 130.00,,,$ 700.00,,1,$ 0.00,2,365,9,39,69,344,28,91,9,9,9,10,8,9,moderate,4,0.54
N/A,1,1,10006,39.92277316121051,116.40404246902446,5,1,3,3,,$ 890.00,"$ 4,449.00","$ 13,691.00","$ 2,738.00",$ 274.00,1,$ 0.00,2,1125,0,0,0,0,26,93,10,9,10,10,10,9,moderate,1,0.45
100%,5,5,10090,39.97535682460267,116.33664086031881,2,1,1,1,,$ 390.00,"$ 2,015.00","$ 6,300.00","$ 1,000.00",,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,5,5,,39.9783213555975,116.3371379556145,2,1,1,1,,$ 404.00,"$ 2,156.00","$ 6,500.00","$ 1,000.00",,16,$ 50.00,1,1125,29,59,89,364,0,,,,,,,,flexible,5,
100%,5,5,,39.980472196533874,116.33857262466547,3,1,1,2,,$ 431.00,"$ 2,156.00","$ 6,500.00","$ 1,000.00",$ 0.00,3,$ 0.00,1,1125,30,60,90,365,5,95,9,9,10,10,10,10,flexible,5,0.44
100%,5,5,,39.97889491477598,116.33691580408774,2,1,1,2,,$ 431.00,"$ 2,100.00","$ 6,500.00",$ 650.00,,1,$ 50.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,1,1,100007,39.936333477268754,116.4147974338786,2,1,2,2,,$ 226.00,,,$ 0.00,$ 179.00,2,$ 134.00,2,1125,0,0,0,0,10,87,10,8,8,10,10,9,strict_14_with_grace_period,1,0.23
96%,8,8,,39.938556406498876,116.43457767383791,2,1,0,1,603,$ 397.00,$ 430.00,"$ 1,750.00",$ 700.00,$ 0.00,2,$ 63.00,1,1125,13,43,73,348,37,87,9,8,9,9,9,9,flexible,8,0.8
100%,5,5,,39.97751539385751,116.33967823247383,3,1,1,2,,$ 411.00,"$ 2,016.00","$ 6,500.00","$ 1,000.00",,1,$ 0.00,10,1125,30,60,90,365,1,100,8,8,10,10,10,8,moderate,5,0.07
100%,1,1,100010,39.92175869972557,116.42238340379623,4,1,2,3,,$ 281.00,"$ 1,622.00",,$ 685.00,$ 103.00,2,$ 103.00,3,1125,5,5,32,307,47,93,9,10,10,10,9,9,flexible,1,0.84
100%,1,1,100300,39.936862281595936,116.45738272337726,2,1,1,1,,$ 500.00,"$ 4,003.00","$ 15,014.00","$ 5,000.00",$ 200.00,1,$ 0.00,5,70,0,0,0,0,12,100,10,10,10,10,10,10,moderate,1,0.32
100%,1,1,100142,39.926613336111714,116.29503359135879,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,8,33,63,338,4,100,10,9,10,10,9,10,flexible,1,0.29
100%,1,1,100020,39.93022733602178,116.51505603167773,4,1,2,2,,$ 951.00,,"$ 18,000.00","$ 1,000.00",$ 0.00,4,$ 0.00,7,180,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,1,
80%,1,1,,39.89586780502284,116.30751220905411,5,2,3,3,,$ 199.00,,,,,2,$ 99.00,2,1125,0,29,59,59,76,94,9,9,10,10,9,9,strict_14_with_grace_period,1,1.5
100%,4,4,,39.92393291909872,116.56605892588813,8,3,3,4,,$ 678.00,,,"$ 2,054.00",$ 137.00,5,$ 103.00,3,1125,0,0,0,0,61,96,10,9,10,10,9,9,moderate,4,1.11
100%,7,7,100020,39.89189090601249,116.46044212567844,2,1,1,1,215,$ 185.00,"$ 1,500.00","$ 5,000.00",$ 0.00,$ 0.00,2,$ 0.00,1,1125,17,47,77,352,28,83,9,8,9,9,9,8,strict_14_with_grace_period,7,0.5
100%,1,1,,39.914643415296275,116.4722397510627,2,1,1,1,,$ 568.00,,,$ 800.00,$ 80.00,2,$ 80.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,12,12,100027,39.94102339532193,116.44019351202388,2,1,1,1,,$ 397.00,"$ 2,800.00","$ 12,000.00",,,1,$ 0.00,1,1125,26,56,86,361,31,92,9,9,10,10,9,9,strict_14_with_grace_period,12,0.62
100%,12,12,100001,39.940189515050896,116.44457680761762,2,1,1,1,,$ 452.00,"$ 2,800.00","$ 12,000.00",,,1,$ 0.00,1,365,21,51,81,356,44,87,9,8,9,9,9,9,strict_14_with_grace_period,12,0.86
100%,12,12,100027,39.94138183671102,116.4419663408358,3,1,1,1,,$ 500.00,"$ 4,000.00","$ 15,000.00",,,1,$ 0.00,1,360,0,23,53,328,21,93,10,9,9,9,10,9,strict_14_with_grace_period,12,0.53
50%,2,2,100022,39.90002501843443,116.48818466129026,2,2,1,1,,$ 685.00,"$ 20,536.00","$ 54,762.00","$ 1,999.00",$ 301.00,2,$ 301.00,5,1125,21,51,81,356,8,95,10,10,10,9,9,9,moderate,1,0.16
100%,1,1,100009,39.9472770902131,116.41085421388858,5,2.5,3,3,,"$ 1,027.00",,,"$ 1,711.00",$ 171.00,5,$ 171.00,3,90,22,52,82,357,32,99,10,10,10,10,10,10,moderate,1,0.6
100%,2,2,,40.37722437354317,116.53817126141496,6,2.5,2,2,,"$ 1,903.00",,,$ 800.00,$ 200.00,1,$ 0.00,1,30,22,52,82,282,37,100,10,10,10,10,10,10,moderate,1,2.21
100%,1,1,,40.02131808396808,116.43209890370834,2,1,1,1,,$ 301.00,"$ 1,300.00","$ 5,000.00",,,1,$ 0.00,3,1125,0,0,0,55,1,80,10,6,10,10,10,8,flexible,1,0.02
100%,2,2,100016,39.9747480579022,116.48242028053194,6,3,3,3,,"$ 1,485.00","$ 5,000.00",,"$ 10,000.00",$ 100.00,1,$ 0.00,3,1125,29,59,89,364,3,100,10,10,10,10,10,10,flexible,2,0.18
100%,7,7,100010,39.88757032945202,116.46440252914839,7,1,3,3,,$ 548.00,"$ 4,500.00","$ 16,000.00",$ 600.00,,2,$ 150.00,1,1125,15,45,75,350,4,90,9,8,9,9,9,9,strict_14_with_grace_period,7,0.11
100%,7,7,100020,39.88644306587656,116.46399522151977,4,1,1,1,,$ 185.00,"$ 1,500.00","$ 5,200.00",,,2,$ 50.00,1,1125,19,49,79,354,4,60,8,7,9,8,7,6,strict_14_with_grace_period,7,0.09
100%,7,7,110020,39.888232738538,116.46528116334615,2,1,1,1,,$ 178.00,"$ 1,200.00","$ 4,500.00",,,2,$ 0.00,1,1125,19,49,79,354,16,83,9,8,9,9,9,9,strict_14_with_grace_period,7,0.32
100%,7,7,100010,39.886392398300316,116.46357521684241,1,1,1,1,,$ 151.00,"$ 1,000.00","$ 3,500.00",,,1,$ 0.00,1,1125,22,52,82,357,5,84,9,8,9,10,8,7,strict_14_with_grace_period,7,0.1
100%,15,15,,39.84734776851592,116.4268249275737,3,1,1,1,,$ 527.00,"$ 2,975.00","$ 9,800.00","$ 1,000.00",$ 70.00,2,$ 70.00,2,180,0,9,39,306,110,96,10,10,10,10,9,9,strict_14_with_grace_period,15,2.05
100%,2,2,100621,40.09031070068102,116.56314710466103,6,1,3,6,,$ 281.00,$ 700.00,"$ 2,900.00",$ 600.00,$ 31.00,1,$ 70.00,1,100,30,60,90,365,91,89,9,8,10,10,9,9,moderate,2,1.85
100%,2,2,101312,40.077067720419365,116.56839926942686,2,1,1,1,,$ 281.00,$ 700.00,"$ 2,900.00",$ 600.00,$ 31.00,1,$ 70.00,1,100,30,60,90,365,41,82,9,8,10,9,8,8,moderate,2,0.85
100%,1,1,100022,39.8790662981707,116.48004019923427,2,1,1,1,,$ 219.00,,,$ 0.00,$ 100.00,2,$ 0.00,12,90,6,24,24,41,35,94,10,10,10,10,9,10,moderate,1,0.75
100%,12,12,100022,39.89524169518182,116.45179313409517,11,2,3,5,,"$ 1,027.00","$ 7,667.00","$ 25,054.00",$ 685.00,$ 68.00,8,$ 68.00,1,365,20,45,75,350,29,90,9,9,9,10,10,9,strict_14_with_grace_period,12,0.68
100%,12,12,100022,39.89392139021057,116.45124367985945,9,2,3,4,,$ 835.00,"$ 8,913.00","$ 29,161.00",$ 685.00,$ 68.00,7,$ 68.00,1,365,17,45,75,350,51,89,9,9,9,9,9,9,strict_14_with_grace_period,12,1.08
100%,12,12,100022,39.894706140204434,116.4517960374295,9,2,3,4,,$ 945.00,"$ 8,913.00","$ 29,161.00",$ 685.00,$ 68.00,7,$ 68.00,1,365,25,49,72,346,36,89,9,9,9,9,9,9,strict_14_with_grace_period,12,0.76
100%,2,2,1000,40.47275230404846,116.5445502957907,10,1,3,3,,$ 951.00,,,,$ 200.00,4,$ 200.00,1,1125,22,52,81,356,41,93,9,9,10,10,10,9,moderate,1,0.77
100%,2,2,100102,39.97443411434939,116.43801205347845,6,2,3,4,,$ 897.00,,"$ 25,000.00",,$ 150.00,4,$ 0.00,1,365,19,42,72,347,114,94,10,9,10,10,9,9,strict_14_with_grace_period,2,2.17
100%,2,2,100083,40.00554268145374,116.34342472204827,1,1,1,1,,$ 164.00,$ 958.00,,,,1,$ 0.00,1,1125,29,59,89,364,14,90,9,9,9,10,10,10,flexible,1,0.28
88%,41,41,100001,39.9352823361111,116.44524939616868,2,1,1,1,,$ 979.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,41,
0%,1,1,100018,39.96604494509618,116.5341202705794,2,0.5,1,1,,$ 123.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,2,2,100084,39.99311859378509,116.31588419033704,1,1,1,1,,$ 301.00,,,$ 700.00,$ 220.00,1,$ 80.00,3,6,0,0,12,12,4,100,10,10,10,10,10,10,flexible,1,0.15
100%,7,7,102218,40.07033202619654,116.42579565769095,2,1,1,1,,$ 171.00,,,$ 100.00,,1,$ 8.00,1,365,30,60,90,365,3,87,9,9,8,8,8,8,strict_14_with_grace_period,5,0.14
0%,1,1,100000,39.935506263091526,116.41494252216812,2,1.5,1,1,,$ 999.00,"$ 6,000.00","$ 23,000.00","$ 2,000.00",$ 220.00,1,$ 300.00,1,30,27,57,87,87,0,,,,,,,,moderate,1,
100%,2,2,103113,40.08659210119471,116.73716204598578,5,3,4,5,,$ 951.00,,,,$ 150.00,1,$ 0.00,3,15,23,53,83,358,1,100,10,10,10,10,10,10,strict_14_with_grace_period,2,0.03
N/A,1,1,100250,39.95026341064698,116.4678453819642,2,1,1,1,,$ 253.00,,,$ 800.00,$ 50.00,1,$ 35.00,2,1125,0,0,0,0,3,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.09
100%,1,1,100006,39.91508202536377,116.40774492420776,2,1,1,1,,$ 424.00,"$ 2,818.00","$ 9,999.00",$ 0.00,$ 92.00,2,$ 88.00,3,300,2,5,22,262,144,99,10,10,10,10,10,10,moderate,1,2.81
N/A,1,1,,39.934851304267916,116.46342917637644,3,0,2,2,,"$ 1,499.00",,,,,1,$ 0.00,7,7,23,53,83,83,1,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.22
100%,5,5,100028,39.95108055006692,116.45361859352788,5,1,2,2,,$ 602.00,"$ 4,025.00","$ 13,608.00",,,1,$ 0.00,2,1125,0,0,0,0,0,,,,,,,,moderate,1,
100%,1,1,101111,39.82466076781142,116.55587556672869,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,2,1125,22,52,82,357,3,100,10,10,10,10,9,10,moderate,1,0.21
